ID,Round1_Gaming,Round2_Gaming,Round3_Gaming,Round4_Gaming,Round5_Gaming,Round6_Gaming,Round7_Gaming,Round8_Gaming,Round9_Gaming,Round10_Gaming
01.1.1_A,Yes,Yes,Yes,,,,,,,
01.1.2_A,Yes,Yes,Yes,,,,,,,
01.1.3_A,Yes,Yes,Yes,,,,,,,
01.1.4_A,Yes,Yes,Yes,,,,,,,
01.1.5_A,Yes,Yes,Yes,,,,,,,
01.1.1_B,Yes,Yes,Yes,,,,,,,
01.1.2_B,Yes,Yes,Yes,,,,,,,
01.1.3_B,Yes,Yes,Yes,,,,,,,
01.1.4_B,Yes,Yes,Yes,,,,,,,
01.1.5_B,Yes,Yes,Yes,,,,,,,
01.1.1_C,Yes,Yes,Yes,,,,,,,
01.1.2_C,Yes,Yes,Yes,,,,,,,
01.1.3_C,Yes,Yes,Yes,,,,,,,
01.1.4_C,Yes,Yes,Yes,,,,,,,
01.1.5_C,Yes,Yes,Yes,,,,,,,
01.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
01.2.2_A,Yes,Yes,Yes,Yes,,,,,,
01.2.3_A,Yes,Yes,Yes,Yes,Yes,Yes,,,,
01.2.4_A,Yes,Yes,Yes,Yes,Yes,Yes,,,,
01.2.5_A,Yes,Yes,Yes,Yes,,,,,,
01.2.1_B,Yes,Yes,Yes,Yes,Yes,,,,,
01.2.2_B,Yes,Yes,Yes,Yes,Yes,Yes,,,,
01.2.3_B,Yes,Yes,Yes,Yes,Yes,Yes,,,,
01.2.4_B,Yes,Yes,Yes,Yes,,,,,,
01.2.5_B,Yes,Yes,Yes,Yes,,,,,,
01.2.1_C,Yes,Yes,Yes,Yes,Yes,,,,,
01.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
01.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
01.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
01.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
01.3.1_A,No,No,Yes,No,No,,,,,
01.3.2_A,No,No,Yes,No,,,,,,
01.3.3_A,No,No,Yes,No,,,,,,
01.3.4_A,No,No,Yes,No,,,,,,
01.3.5_A,No,No,Yes,No,,,,,,
01.3.1_B,No,No,Yes,No,No,,,,,
01.3.2_B,No,No,Yes,No,,,,,,
01.3.3_B,No,No,Yes,No,,,,,,
01.3.4_B,No,No,Yes,No,No,,,,,
01.3.5_B,No,No,Yes,No,,,,,,
01.3.1_C,No,No,Yes,No,No,,,,,
01.3.2_C,No,No,Yes,No,No,,,,,
01.3.3_C,No,No,Yes,No,No,,,,,
01.3.4_C,No,No,Yes,No,,,,,,
01.3.5_C,No,No,Yes,No,No,,,,,
01.4.1_A,No,No,Yes,Yes,,,,,,
01.4.2_A,No,No,Yes,Yes,,,,,,
01.4.3_A,No,No,Yes,Yes,Yes,,,,,
01.4.4_A,No,No,Yes,Yes,Yes,,,,,
01.4.5_A,No,No,Yes,Yes,Yes,,,,,
01.4.1_B,No,No,Yes,Yes,Yes,,,,,
01.4.2_B,No,No,Yes,Yes,Yes,,,,,
01.4.3_B,No,No,Yes,Yes,Yes,,,,,
01.4.4_B,No,No,Yes,Yes,Yes,,,,,
01.4.5_B,No,No,Yes,Yes,Yes,,,,,
01.4.1_C,No,No,Yes,Yes,Yes,,,,,
01.4.2_C,No,No,Yes,Yes,Yes,,,,,
01.4.3_C,No,No,Yes,Yes,Yes,,,,,
01.4.4_C,No,No,Yes,Yes,Yes,,,,,
01.4.5_C,No,No,Yes,Yes,Yes,,,,,
02.1.1_A,Yes,Yes,Yes,,,,,,,
02.1.2_A,Yes,Yes,Yes,,,,,,,
02.1.3_A,Yes,Yes,Yes,,,,,,,
02.1.4_A,Yes,Yes,Yes,,,,,,,
02.1.5_A,Yes,Yes,Yes,,,,,,,
02.1.1_B,Yes,Yes,Yes,,,,,,,
02.1.2_B,Yes,Yes,Yes,,,,,,,
02.1.3_B,Yes,Yes,Yes,,,,,,,
02.1.4_B,Yes,Yes,Yes,,,,,,,
02.1.5_B,Yes,Yes,Yes,,,,,,,
02.1.1_C,Yes,Yes,Yes,,,,,,,
02.1.2_C,Yes,Yes,Yes,,,,,,,
02.1.3_C,Yes,Yes,Yes,,,,,,,
02.1.4_C,Yes,Yes,Yes,,,,,,,
02.1.5_C,Yes,Yes,Yes,,,,,,,
02.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
02.2.2_A,Yes,Yes,Yes,Yes,,,,,,
02.2.3_A,Yes,Yes,Yes,Yes,Yes,,,,,
02.2.4_A,Yes,Yes,Yes,Yes,,,,,,
02.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
02.2.1_B,Yes,Yes,Yes,Yes,Yes,Yes,,,,
02.2.2_B,Yes,Yes,Yes,Yes,,,,,,
02.2.3_B,Yes,Yes,Yes,Yes,,,,,,
02.2.4_B,Yes,Yes,Yes,Yes,Yes,,,,,
02.2.5_B,Yes,Yes,Yes,,,,,,,
02.2.1_C,Yes,Yes,Yes,Yes,Yes,,,,,
02.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
02.2.3_C,Yes,Yes,Yes,Yes,,,,,,
02.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
02.2.5_C,Yes,Yes,Yes,Yes,,,,,,
02.3.1_A,No,No,Yes,No,,,,,,
02.3.2_A,No,No,Yes,No,,,,,,
02.3.3_A,No,No,Yes,No,,,,,,
02.3.4_A,No,No,Yes,No,,,,,,
02.3.5_A,No,No,Yes,No,No,,,,,
02.3.1_B,No,No,Yes,No,,,,,,
02.3.2_B,No,No,Yes,No,,,,,,
02.3.3_B,No,No,Yes,No,,,,,,
02.3.4_B,No,No,Yes,No,,,,,,
02.3.5_B,No,No,Yes,No,,,,,,
02.3.1_C,No,No,Yes,No,,,,,,
02.3.2_C,No,Yes,No,,,,,,,
02.3.3_C,No,No,Yes,No,,,,,,
02.3.4_C,No,No,Yes,No,,,,,,
02.3.5_C,No,No,Yes,No,No,,,,,
02.4.1_A,No,No,Yes,Yes,,,,,,
02.4.2_A,No,No,Yes,Yes,Yes,,,,,
02.4.3_A,No,No,Yes,Yes,Yes,,,,,
02.4.4_A,No,No,Yes,Yes,Yes,,,,,
02.4.5_A,No,No,Yes,Yes,Yes,,,,,
02.4.1_B,No,No,Yes,Yes,Yes,,,,,
02.4.2_B,No,No,Yes,Yes,Yes,,,,,
02.4.3_B,No,No,Yes,Yes,Yes,,,,,
02.4.4_B,No,No,Yes,Yes,Yes,,,,,
02.4.5_B,No,No,Yes,Yes,Yes,,,,,
02.4.1_C,No,No,Yes,Yes,Yes,,,,,
02.4.2_C,No,No,Yes,Yes,Yes,,,,,
02.4.3_C,No,No,Yes,Yes,Yes,,,,,
02.4.4_C,No,No,Yes,Yes,Yes,,,,,
02.4.5_C,No,No,Yes,Yes,Yes,,,,,
03.1.1_A,Yes,Yes,Yes,,,,,,,
03.1.2_A,Yes,Yes,Yes,,,,,,,
03.1.3_A,Yes,Yes,Yes,,,,,,,
03.1.4_A,Yes,Yes,Yes,,,,,,,
03.1.5_A,Yes,Yes,Yes,,,,,,,
03.1.1_B,Yes,Yes,Yes,,,,,,,
03.1.2_B,Yes,Yes,Yes,,,,,,,
03.1.3_B,Yes,Yes,Yes,,,,,,,
03.1.4_B,Yes,Yes,Yes,,,,,,,
03.1.5_B,Yes,Yes,Yes,,,,,,,
03.1.1_C,Yes,Yes,Yes,,,,,,,
03.1.2_C,Yes,Yes,Yes,,,,,,,
