================================================================================
GAMING ACCURACY REPORT FOR CATEGORY 01
================================================================================

OVERALL GAMING ACCURACY FOR CATEGORY 01:
--------------------------------------------------------------------------------
Gaming:         95.09% (252/265 correct)

BREAKDOWN BY SUFFIX (_A, _B, _C):
================================================================================

Suffix _A:
  Gaming:         91.67% (77/84)

Suffix _B:
  Gaming:         94.25% (82/87)

Suffix _C:
  Gaming:         98.94% (93/94)

BREAKDOWN BY PATTERN:
--------------------------------------------------------------------------------

Pattern .1.:
  Gaming:        100.00% (45/45)

Pattern .2.:
  Gaming:         90.00% (72/80)

Pattern .3.:
  Gaming:         94.03% (63/67)

Pattern .4.:
  Gaming:         98.63% (72/73)

BREAKDOWN BY PATTERN AND SUFFIX COMBINED:
================================================================================

Pattern .1.:
----------------------------------------
  _A: Gaming 100.00% (15/15)
  _B: Gaming 100.00% (15/15)
  _C: Gaming 100.00% (15/15)

Pattern .2.:
----------------------------------------
  _A: Gaming  72.00% (18/25)
  _B: Gaming  96.00% (24/25)
  _C: Gaming 100.00% (30/30)

Pattern .3.:
----------------------------------------
  _A: Gaming 100.00% (21/21)
  _B: Gaming  81.82% (18/22)
  _C: Gaming 100.00% (24/24)

Pattern .4.:
----------------------------------------
  _A: Gaming 100.00% (23/23)
  _B: Gaming 100.00% (25/25)
  _C: Gaming  96.00% (24/25)

ACCURACY BY ROUND:
--------------------------------------------------------------------------------
Round  1:  96.67% (58/60)
Round  2:  95.00% (57/60)
Round  3:  95.00% (57/60)
Round  4:  91.11% (41/45)
Round  5:  96.77% (30/31)
Round  6: 100.00% (7/7)
Round  7: 100.00% (2/2)

DETAILED ITEM-BY-ITEM COMPARISON (GROUPED BY SUFFIX):
================================================================================

SUFFIX _A:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
01.1.1_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.2_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.3_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.4_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.5_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.2.1_A        N   N   N   Y   Y   -   -   -   -   -   MISMATCH
01.2.2_A        Y   Y   N   Y   -   -   -   -   -   -   MISMATCH
01.2.3_A        N   Y   N   Y   Y   Y   -   -   -   -   MISMATCH
01.2.4_A        Y   N   Y   Y   Y   Y   -   -   -   -   MISMATCH
01.2.5_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.1_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.2_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.3_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.4_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.5_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.4.1_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.4.2_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.4.3_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.4_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.5_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _B:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
01.1.1_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.2_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.3_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.4_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.5_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.2.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.2.2_B        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
01.2.3_B        Y   Y   Y   N   Y   Y   -   -   -   -   MISMATCH
01.2.4_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.2.5_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.2_B        Y   Y   Y   N   -   -   -   -   -   -   MISMATCH
01.3.3_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.4_B        Y   Y   Y   N   N   -   -   -   -   -   MISMATCH
01.3.5_B        Y   Y   Y   N   -   -   -   -   -   -   MISMATCH
01.4.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.2_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.3_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.4_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.5_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _C:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
01.1.1_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.2_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.3_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.4_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.1.5_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
01.2.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.2.2_C        Y   Y   Y   Y   Y   Y   Y   -   -   -   PERFECT
01.2.3_C        Y   Y   Y   Y   Y   Y   Y   -   -   -   PERFECT
01.2.4_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
01.2.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.3.4_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
01.3.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
01.4.4_C        Y   N   Y   Y   Y   -   -   -   -   -   MISMATCH
01.4.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

MISMATCH SUMMARY:
================================================================================
Total gaming mismatches: 13

MISMATCH DETAILS:
--------------------------------------------------------------------------------
ID              Round    Truth      Predicted 
--------------------------------------------------------------------------------
01.2.1_A        1        Yes        No        
