================================================================================
GAMING ACCURACY REPORT FOR CATEGORY 10
================================================================================

OVERALL GAMING ACCURACY FOR CATEGORY 10:
--------------------------------------------------------------------------------
Gaming:         99.21% (252/254 correct)

BREAKDOWN BY SUFFIX (_A, _B, _C):
================================================================================

Suffix _A:
  Gaming:         98.77% (80/81)

Suffix _B:
  Gaming:         98.81% (83/84)

Suffix _C:
  Gaming:        100.00% (89/89)

BREAKDOWN BY PATTERN:
--------------------------------------------------------------------------------

Pattern .1.:
  Gaming:        100.00% (41/41)

Pattern .2.:
  Gaming:         98.67% (74/75)

Pattern .3.:
  Gaming:         98.41% (62/63)

Pattern .4.:
  Gaming:        100.00% (75/75)

BREAKDOWN BY PATTERN AND SUFFIX COMBINED:
================================================================================

Pattern .1.:
----------------------------------------
  _A: Gaming 100.00% (11/11)
  _B: Gaming 100.00% (15/15)
  _C: Gaming 100.00% (15/15)

Pattern .2.:
----------------------------------------
  _A: Gaming 100.00% (25/25)
  _B: Gaming  95.65% (22/23)
  _C: Gaming 100.00% (27/27)

Pattern .3.:
----------------------------------------
  _A: Gaming  95.00% (19/20)
  _B: Gaming 100.00% (21/21)
  _C: Gaming 100.00% (22/22)

Pattern .4.:
----------------------------------------
  _A: Gaming 100.00% (25/25)
  _B: Gaming 100.00% (25/25)
  _C: Gaming 100.00% (25/25)

ACCURACY BY ROUND:
--------------------------------------------------------------------------------
Round  1: 100.00% (60/60)
Round  2: 100.00% (58/58)
Round  3:  98.28% (57/58)
Round  4:  97.73% (43/44)
Round  5: 100.00% (29/29)
Round  6: 100.00% (3/3)
Round  7: 100.00% (1/1)
Round  8: 100.00% (1/1)

DETAILED ITEM-BY-ITEM COMPARISON (GROUPED BY SUFFIX):
================================================================================

SUFFIX _A:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
10.1.1_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.2_A        Y   -   -   -   -   -   -   -   -   -   PERFECT
10.1.3_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.4_A        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.5_A        Y   -   -   -   -   -   -   -   -   -   PERFECT
10.2.1_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.2.2_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.3_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.4_A        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
10.2.5_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.3.1_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.2_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.3_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.4_A        Y   Y   Y   N   -   -   -   -   -   -   MISMATCH
10.3.5_A        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.4.1_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.2_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.3_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.4_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.5_A        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _B:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
10.1.1_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.2_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.3_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.4_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.5_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.2.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.2_B        Y   Y   N   Y   -   -   -   -   -   -   MISMATCH
10.2.3_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.4_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.5_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.1_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.2_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.3.3_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.4_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.5_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.4.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.2_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.3_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.4_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.5_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _C:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
10.1.1_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.2_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.3_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.4_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.1.5_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.2.1_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
10.2.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.2.3_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
10.2.4_C        Y   Y   Y   Y   Y   Y   Y   Y   -   -   PERFECT
10.2.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.3.1_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.2_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.3.4_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
10.3.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.4_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
10.4.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

MISMATCH SUMMARY:
================================================================================
Total gaming mismatches: 2

MISMATCH DETAILS:
--------------------------------------------------------------------------------
ID              Round    Truth      Predicted 
--------------------------------------------------------------------------------
10.2.2_B        3        Yes        No        
10.3.4_A        4        No         Yes       

