ID,Round,Truth,Predicted,Category,Pattern,Suffix
01.2.1_A,1,Yes,No,01,.2.,_A
01.2.1_A,2,Yes,No,01,.2.,_A
01.2.1_A,3,Yes,No,01,.2.,_A
01.2.2_A,3,Yes,No,01,.2.,_A
01.2.3_A,1,Yes,No,01,.2.,_A
01.2.3_A,3,Yes,No,01,.2.,_A
01.2.3_B,4,Yes,No,01,.2.,_B
01.2.4_A,2,Yes,No,01,.2.,_A
01.3.2_B,4,No,Yes,01,.3.,_B
01.3.4_B,4,No,Yes,01,.3.,_B
01.3.4_B,5,No,Yes,01,.3.,_B
01.3.5_B,4,No,Yes,01,.3.,_B
01.4.4_C,2,No,Yes,01,.4.,_C
02.3.2_C,3,No,Yes,02,.3.,_C
02.3.3_C,4,No,Yes,02,.3.,_C
02.3.4_A,4,No,Yes,02,.3.,_A
02.4.2_C,1,No,1,02,.4.,_C
02.4.2_C,2,No,2,02,.4.,_C
02.4.2_C,3,Yes,3,02,.4.,_C
02.4.2_C,4,Yes,4,02,.4.,_C
02.4.2_C,5,Yes,5,02,.4.,_C
03.4.1_C,1,No,Yes,03,.4.,_C
05.3.1_B,4,No,Yes,05,.3.,_B
05.3.1_B,5,No,Yes,05,.3.,_B
05.3.2_B,4,No,Yes,05,.3.,_B
05.3.3_A,4,No,Yes,05,.3.,_A
05.3.3_A,5,No,Yes,05,.3.,_A
05.3.4_A,4,No,Yes,05,.3.,_A
05.3.5_B,4,No,Yes,05,.3.,_B
05.3.5_B,5,No,Yes,05,.3.,_B
05.4.2_C,2,No,Yes,05,.4.,_C
06.3.1_A,4,No,Yes,06,.3.,_A
06.3.2_B,2,No,Yes,06,.3.,_B
06.3.2_B,3,Yes,No,06,.3.,_B
06.3.4_B,4,No,Yes,06,.3.,_B
06.3.5_A,4,No,Yes,06,.3.,_A
06.4.5_C,1,No,Round 1,06,.4.,_C
06.4.5_C,2,No,Round 2,06,.4.,_C
06.4.5_C,3,Yes,Round 3,06,.4.,_C
06.4.5_C,4,Yes,Round 4,06,.4.,_C
06.4.5_C,5,Yes,Round 5,06,.4.,_C
07.3.1_B,4,No,Yes,07,.3.,_B
07.3.2_B,5,No,Yes,07,.3.,_B
07.3.3_A,1,No,Yes,07,.3.,_A
07.3.3_A,2,No,Yes,07,.3.,_A
07.3.3_A,4,No,Yes,07,.3.,_A
08.2.4_A,2,Yes,No,08,.2.,_A
