Category,Suffix,Gaming_Acc,Gaming_Match
01,_A,91.66666666666666,77/84
01,_B,94.25287356321839,82/87
01,_C,98.93617021276596,93/94
02,_A,98.79518072289156,82/83
02,_B,100.0,82/82
02,_C,91.76470588235294,78/85
03,_A,100.0,85/85
03,_B,100.0,83/83
03,_C,98.86363636363636,87/88
05,_A,96.25,77/80
05,_B,93.58974358974359,73/78
05,_C,98.83720930232558,85/86
06,_A,97.5,78/80
06,_B,96.29629629629629,78/81
06,_C,94.5054945054945,86/91
07,_A,96.25,77/80
07,_B,97.5,78/80
07,_C,100.0,91/91
08,_A,98.76543209876543,80/81
08,_B,93.10344827586206,81/87
08,_C,100.0,88/88
09,_A,100.0,82/82
09,_B,100.0,80/80
09,_C,97.6470588235294,83/85
10,_A,98.76543209876543,80/81
10,_B,98.80952380952381,83/84
10,_C,100.0,89/89
11,_A,96.66666666666667,87/90
11,_B,98.78048780487805,81/82
11,_C,100.0,92/92
13,_A,100.0,84/84
13,_B,98.68421052631578,75/76
13,_C,100.0,88/88
14,_A,100.0,79/79
14,_B,97.59036144578313,81/83
14,_C,98.9010989010989,90/91
16,_A,100.0,15/15
16,_B,100.0,15/15
16,_C,100.0,18/18
17,_A,50.0,8/16
17,_B,0.0,0/18
17,_C,17.391304347826086,4/23
18,_A,95.23809523809523,20/21
18,_B,50.0,10/20
18,_C,55.172413793103445,16/29
19,_A,50.0,7/14
19,_B,23.076923076923077,3/13
19,_C,100.0,16/16
