Filename,Gaming,Main Category,Subcategory,Success
11.2.3_A.txt,Gaming,B,B.7,Failure
11.2.3_A.txt,Gaming,B,B.7,Failure
11.2.3_A.txt,Gaming,B,B.7,Failure
11.2.3_A.txt,Gaming,B,B.7,Failure
11.2.3_A.txt,Gaming,B,B.7,Failure
10.1.3_A.txt,Gaming,B,B.6,Failure
10.1.3_A.txt,Gaming,B,B.6,Failure
10.1.3_A.txt,Gaming,B,B.6,Failure
08.3.4_B.txt,Genuine,,,
08.3.4_B.txt,Genuine,,,
08.3.4_B.txt,Gaming,B,B.4,Failure
08.3.4_B.txt,Genuine,,,
08.3.4_B.txt,Genuine,,,
11.2.3_B.txt,Gaming,B,B.7,Failure
11.2.3_B.txt,Gaming,B,B.7,Failure
11.2.3_B.txt,Gaming,B,B.7,Failure
11.2.3_B.txt,Gaming,B,B.7,Failure
11.2.3_B.txt,Gaming,B,B.7,Failure
09.1.1_A.txt,Gaming,B,B.5,Failure
09.1.1_A.txt,Gaming,B,B.5,Failure
09.1.1_A.txt,Gaming,B,B.5,Failure
11.2.1_A.txt,Gaming,B,B.4,Failure
11.2.1_A.txt,Gaming,B,B.7,Failure
11.2.1_A.txt,Gaming,B,B.7,Failure
11.2.1_A.txt,Gaming,A,A.1,Failure
11.2.1_A.txt,Gaming,A,A.1,Failure
11.3.2_B.txt,Genuine,,,
11.3.2_B.txt,Genuine,,,
11.3.2_B.txt,Gaming,B,B.7,Failure
11.3.2_B.txt,Genuine,,,
08.3.1_B.txt,Gaming,B,B.1,Failure
08.3.1_B.txt,Gaming,B,B.1,Failure
08.3.1_B.txt,Gaming,B,B.4,Failure
08.3.1_B.txt,Genuine,,,
08.3.1_B.txt,Genuine,,,
09.3.4_B.txt,Genuine,,,
09.3.4_B.txt,Genuine,,,
09.3.4_B.txt,Gaming,B,B.5,Failure
09.3.4_B.txt,Genuine,,,
10.1.2_A.txt,Gaming,B,B.6,Success
08.3.2_B.txt,Genuine,,,
08.3.2_B.txt,Genuine,,,
08.3.2_B.txt,Gaming,B,B.4,Failure
08.3.2_B.txt,Genuine,,,
08.3.3_B.txt,Genuine,,,
08.3.3_B.txt,Genuine,,,
08.3.3_B.txt,Gaming,B,B.4,Failure
08.3.3_B.txt,Gaming,B,B.1,Success
10.1.3_B.txt,Gaming,B,B.6,Failure
10.1.3_B.txt,Gaming,B,B.6,Failure
10.1.3_B.txt,Gaming,B,B.6,Failure
10.1.4_A.txt,Gaming,B,6,Failure
10.1.4_A.txt,Gaming,A,1,Failure
10.1.4_A.txt,Gaming,B,6,Failure
11.1.4_A.txt,Gaming,B,B.7,Failure
11.1.4_A.txt,Gaming,B,B.7,Failure
11.1.4_A.txt,Gaming,B,B.7,Failure
11.1.3_A.txt,Gaming,B,B.7,Failure
11.1.3_A.txt,Gaming,B,B.7,Failure
11.1.3_A.txt,Gaming,B,B.7,Failure
11.1.2_A.txt,Gaming,B,B.7,Failure
11.1.2_A.txt,Gaming,B,B.7,Failure
11.1.2_A.txt,Gaming,B,B.7,Failure
11.1.1_A.txt,Gaming,B,B.7,Failure
11.1.1_A.txt,Gaming,B,B.7,Failure
11.1.1_A.txt,Gaming,B,B.7,Failure
11.2.3_C.txt,Gaming,B,B.7,Failure
11.2.3_C.txt,Gaming,A,A.3,Failure
11.2.3_C.txt,Gaming,B,B.4,Failure
11.2.3_C.txt,Gaming,B,B.7,Failure
11.2.3_C.txt,Gaming,B,B.7,Failure
11.2.3_C.txt,Gaming,A,A.3,Failure
13.2.2_A.txt,Gaming,C,C.1,Failure
13.2.2_A.txt,Gaming,C,C.1,Failure
13.2.2_A.txt,Gaming,C,C.1,Failure
13.2.2_A.txt,Gaming,C,C.1,Failure
13.2.2_A.txt,Gaming,C,C.1,Failure
11.1.2_B.txt,Gaming,B,B.7,Failure
11.1.2_B.txt,Gaming,B,B.7,Failure
11.1.2_B.txt,Gaming,B,B.7,Failure
14.1.2_C.txt,Gaming,B,B.7,Failure
14.1.2_C.txt,Gaming,B,B.7,Failure
14.1.2_C.txt,Gaming,B,B.7,Failure
13.1.1_A.txt,Gaming,B,B.1,Failure
13.1.1_A.txt,Gaming,C,C.1,Failure
13.1.1_A.txt,Gaming,C,C.1,Failure
10.1.1_A.txt,Gaming,B,B.6,Failure
10.1.1_A.txt,Gaming,B,B.6,Failure
10.1.1_A.txt,Gaming,B,B.7,Failure
13.1.2_A.txt,Gaming,C,C.1,Failure
13.1.2_A.txt,Gaming,C,C.1,Failure
13.1.2_A.txt,Gaming,C,C.1,Failure
10.2.3_C.txt,Gaming,B,B.6,Failure
10.2.3_C.txt,Gaming,B,B.6,Failure
10.2.3_C.txt,Gaming,B,B.6,Failure
