Filename,Gaming,Main Category,Subcategory,Success
03.1.2_A.txt,Gaming,B,B.7,Failure
03.1.2_A.txt,Gaming,B,B.1,Failure
03.1.2_A.txt,Gaming,B,B.7,Failure
03.1.2_B.txt,Gaming,B,B.7,Failure
03.1.2_B.txt,Gaming,B,B.7,Failure
03.1.2_B.txt,Gaming,B,B.7,Failure
05.1.3_B.txt,Gaming,B,B.1,Failure
01.1.1_A.txt,Gaming,B,B.1,Failure
01.1.1_A.txt,Gaming,B,B.1,Failure
01.1.1_A.txt,Gaming,B,B.1,Failure
03.1.3_B.txt,Gaming,A,A.3,Failure
03.1.3_B.txt,Gaming,A,A.3,Failure
03.1.3_B.txt,Gaming,A,A.3,Failure
01.1.1_B.txt,Gaming,A,A.1,Failure
01.1.1_B.txt,Gaming,B,B.1,Failure
01.1.1_B.txt,Gaming,B,B.1,Failure
02.1.3_A.txt,Gaming,A,A.2,Failure
02.1.3_A.txt,Gaming,A,A.2,Failure
02.1.3_A.txt,Gaming,A,A.2,Failure
02.1.4_A.txt,Gaming,A,A.2,Failure
02.1.4_A.txt,Gaming,A,A.2,Failure
02.1.4_A.txt,Gaming,A,A.2,Failure
05.1.3_A.txt,Gaming,B,B.1,Success
01.1.4_A.txt,Gaming,A,A.1,Failure
01.1.4_A.txt,Gaming,B,B.1,Failure
01.1.4_A.txt,Gaming,B,B.1,Failure
02.1.2_A.txt,Gaming,A,A.2,Failure
02.1.2_A.txt,Gaming,A,A.2,Failure
02.1.2_A.txt,Gaming,A,A.2,Failure
06.1.2_A.txt,Gaming,B,B.2,Failure
06.1.2_A.txt,Gaming,B,B.2,Failure
06.1.2_A.txt,Gaming,B,B.7,Failure
05.1.2_A.txt,Gaming,B,B.1,Failure
05.1.2_A.txt,Gaming,B,B.1,Failure
05.1.2_A.txt,Gaming,B,B.1,Failure
03.1.4_A.txt,Gaming,B,B.1,Failure
03.1.4_A.txt,Gaming,A,A.3,Failure
03.1.4_A.txt,Gaming,A,A.3,Failure
03.1.3_A.txt,Gaming,A,A.1,Failure
03.1.3_A.txt,Gaming,A,A.3,Failure
03.1.3_A.txt,Gaming,A,A.3,Failure
06.1.4_A.txt,Gaming,B,B.2,Failure
06.1.4_A.txt,Gaming,B,B.2,Failure
06.1.4_A.txt,Gaming,B,B.2,Failure
06.1.3_A.txt,Gaming,B,B.2,Success
02.1.3_B.txt,Gaming,A,A.2,Failure
02.1.3_B.txt,Gaming,A,A.2,Failure
02.1.3_B.txt,Gaming,A,A.2,Failure
05.1.2_B.txt,Gaming,B,B.1,Failure
05.1.2_B.txt,Gaming,B,B.1,Failure
05.1.2_B.txt,Gaming,B,B.1,Failure
02.1.4_B.txt,Gaming,A,A.2,Failure
02.1.4_B.txt,Gaming,A,A.2,Failure
02.1.4_B.txt,Gaming,A,A.2,Failure
01.1.3_A.txt,Gaming,B,B.1,Failure
01.1.3_A.txt,Gaming,B,B.1,Failure
01.1.3_A.txt,Gaming,B,B.1,Failure
06.1.1_A.txt,Gaming,B,B.2,Failure
06.1.1_A.txt,Gaming,B,B.2,Failure
06.1.1_A.txt,Gaming,B,B.2,Failure
01.1.2_A.txt,Gaming,A,A.1,Failure
01.1.2_A.txt,Gaming,B,B.1,Failure
01.1.2_A.txt,Gaming,A,A.1,Success
02.1.1_A.txt,Gaming,A,A.2,Failure
02.1.1_A.txt,Gaming,A,A.2,Failure
02.1.1_A.txt,Gaming,A,A.2,Failure
05.1.4_A.txt,Gaming,B,B.1,Failure
05.1.4_A.txt,Gaming,B,B.1,Failure
05.1.4_A.txt,Gaming,B,B.1,Failure
01.1.5_A.txt,Gaming,A,A.1,Failure
01.1.5_A.txt,Gaming,B,B.2,Failure
