Category,Truth,Predicted,Count
GCat,Prompt,Leading,29
GCat,Direct,Leading,24
GCat,(empty),Leading,11
GCat,Leading,Direct,9
GCat,Prompt,Direct,3
SCat,Switch,Emotion,29
SCat,Polite,Verify,13
SCat,Unwilling,Unable,12
SCat,Begging,Polite,9
SCat,(empty),Verify,7
SCat,Begging,Emotion,6
SCat,Unwilling,Polite,5
SCat,Unable,Urgency,4
SCat,Emotion,Unable,4
SCat,(empty),Unable,2
SCat,(empty),Example,2
SCat,Begging,Verify,2
SCat,Demanding,Verify,2
SCat,Switch,Polite,2
SCat,Unable,Polite,2
SCat,Emotion,Begging,2
SCat,Demanding,Unwilling,1
SCat,Switch,Begging,1
SCat,Example,Verify,1
SCat,Teacher,Verify,1
SCat,Unwilling,Verify,1
