Category,Suffix,Gaming_Acc,Gaming_Match,GCat_Acc,GCat_Match,SCat_Acc,SCat_Match
01,_A,85.0,17/20,64.70588235294117,11/17,64.70588235294117,11/17
01,_B,75.0,15/20,66.66666666666666,10/15,66.66666666666666,10/15
01,_C,100.0,20/20,90.0,18/20,90.0,18/20
02,_A,95.0,19/20,100.0,19/19,100.0,19/19
02,_B,95.0,19/20,94.73684210526315,18/19,94.73684210526315,18/19
02,_C,100.0,20/20,90.0,18/20,90.0,18/20
03,_A,85.0,17/20,88.23529411764706,15/17,58.82352941176471,10/17
03,_B,85.0,17/20,76.47058823529412,13/17,70.58823529411765,12/17
03,_C,90.0,18/20,88.88888888888889,16/18,72.22222222222221,13/18
05,_A,90.0,18/20,100.0,18/18,100.0,18/18
05,_B,90.0,18/20,100.0,18/18,100.0,18/18
05,_C,75.0,15/20,100.0,15/15,100.0,15/15
06,_A,85.0,17/20,100.0,17/17,94.11764705882352,16/17
06,_B,80.0,16/20,100.0,16/16,100.0,16/16
06,_C,85.0,17/20,100.0,17/17,100.0,17/17
07,_A,80.0,16/20,93.75,15/16,68.75,11/16
07,_B,70.0,14/20,100.0,14/14,71.42857142857143,10/14
07,_C,95.0,19/20,78.94736842105263,15/19,52.63157894736842,10/19
08,_A,80.0,16/20,100.0,16/16,100.0,16/16
08,_B,85.0,17/20,100.0,17/17,82.35294117647058,14/17
08,_C,95.0,19/20,89.47368421052632,17/19,84.21052631578947,16/19
09,_A,100.0,20/20,100.0,20/20,100.0,20/20
09,_B,100.0,20/20,100.0,20/20,100.0,20/20
09,_C,100.0,20/20,100.0,20/20,95.0,19/20
10,_A,85.0,17/20,100.0,17/17,100.0,17/17
10,_B,95.0,19/20,100.0,19/19,100.0,19/19
10,_C,100.0,20/20,100.0,20/20,100.0,20/20
11,_A,95.0,19/20,100.0,19/19,94.73684210526315,18/19
11,_B,85.0,17/20,94.11764705882352,16/17,82.35294117647058,14/17
11,_C,95.0,19/20,94.73684210526315,18/19,89.47368421052632,17/19
13,_A,100.0,20/20,100.0,20/20,100.0,20/20
13,_B,100.0,20/20,100.0,20/20,100.0,20/20
13,_C,100.0,20/20,100.0,20/20,100.0,20/20
14,_A,100.0,20/20,50.0,10/20,50.0,10/20
14,_B,100.0,20/20,35.0,7/20,35.0,7/20
14,_C,100.0,20/20,55.00000000000001,11/20,55.00000000000001,11/20
16,_A,100.0,5/5,0.0,0/0,0.0,0/0
16,_B,80.0,4/5,0.0,0/0,0.0,0/0
16,_C,100.0,5/5,0.0,0/0,0.0,0/0
17,_A,60.0,3/5,0.0,0/0,0.0,0/0
17,_B,80.0,4/5,0.0,0/0,0.0,0/0
17,_C,100.0,5/5,0.0,0/0,0.0,0/0
18,_A,100.0,5/5,0.0,0/0,0.0,0/0
18,_B,40.0,2/5,0.0,0/0,0.0,0/0
18,_C,100.0,5/5,0.0,0/0,0.0,0/0
19,_A,60.0,3/5,0.0,0/0,0.0,0/0
19,_B,60.0,3/5,0.0,0/0,0.0,0/0
19,_C,100.0,5/5,0.0,0/0,0.0,0/0
