ID,M. Gaming,M. G. Cat,M. S. Cat
01.1.1_A,Yes,Direct,Polite
01.1.2_A,Yes,Direct,Polite
01.1.3_A,Yes,Direct,Polite
01.1.4_A,Yes,Direct,Polite
01.1.5_A,Yes,Direct,Polite
01.1.1_B,Yes,Direct,Polite
01.1.2_B,Yes,Direct,Polite
01.1.3_B,Yes,Direct,Polite
01.1.4_B,Yes,Direct,Polite
01.1.5_B,Yes,Direct,Polite
01.1.1_C,Yes,Direct,Polite
01.1.2_C,Yes,Direct,Polite
01.1.3_C,Yes,Direct,Polite
01.1.4_C,Yes,Direct,Polite
01.1.5_C,Yes,Direct,Polite
01.2.1_A,Yes,Direct,Polite
01.2.2_A,Yes,Direct,Polite
01.2.3_A,Yes,Direct,Polite
01.2.4_A,Yes,Direct,Polite
01.2.5_A,Yes,Direct,Polite
01.2.1_B,Yes,Direct,Polite
01.2.2_B,Yes,Direct,Polite
01.2.3_B,Yes,Direct,Polite
01.2.4_B,Yes,Direct,Polite
01.2.5_B,Yes,Direct,Polite
01.2.1_C,Yes,Direct,Polite
01.2.2_C,Yes,Direct,Polite
01.2.3_C,Yes,Direct,Polite
01.2.4_C,Yes,Direct,Polite
01.2.5_C,Yes,Direct,Polite
01.3.1_A,Yes,Direct,Polite
01.3.2_A,Yes,Direct,Polite
01.3.3_A,Yes,Direct,Polite
01.3.4_A,Yes,Direct,Polite
01.3.5_A,Yes,Direct,Polite
01.3.1_B,Yes,Direct,Polite
01.3.2_B,Yes,Direct,Polite
01.3.3_B,Yes,Direct,Polite
01.3.4_B,Yes,Direct,Polite
01.3.5_B,Yes,Direct,Polite
01.3.1_C,Yes,Direct,Polite
01.3.2_C,Yes,Direct,Polite
01.3.3_C,Yes,Direct,Polite
01.3.4_C,Yes,Direct,Polite
01.3.5_C,Yes,Direct,Polite
01.4.1_A,Yes,Direct,Polite
01.4.2_A,Yes,Direct,Polite
01.4.3_A,Yes,Direct,Polite
01.4.4_A,Yes,Direct,Polite
01.4.5_A,Yes,Direct,Polite
01.4.1_B,Yes,Direct,Polite
01.4.2_B,Yes,Direct,Polite
01.4.3_B,Yes,Direct,Polite
01.4.4_B,Yes,Direct,Polite
01.4.5_B,Yes,Direct,Polite
01.4.1_C,Yes,Direct,Polite
01.4.2_C,Yes,Direct,Polite
01.4.3_C,Yes,Direct,Polite
01.4.4_C,Yes,Direct,Polite
01.4.5_C,Yes,Direct,Polite
02.1.1_A,Yes,Direct,Demanding
02.1.2_A,Yes,Direct,Demanding
02.1.3_A,Yes,Direct,Demanding
02.1.4_A,Yes,Direct,Demanding
02.1.5_A,Yes,Direct,Demanding
02.1.1_B,Yes,Direct,Demanding
02.1.2_B,Yes,Direct,Demanding
02.1.3_B,Yes,Direct,Demanding
02.1.4_B,Yes,Direct,Demanding
02.1.5_B,Yes,Direct,Demanding
02.1.1_C,Yes,Direct,Demanding
02.1.2_C,Yes,Direct,Demanding
02.1.3_C,Yes,Direct,Demanding
02.1.4_C,Yes,Direct,Demanding
02.1.5_C,Yes,Direct,Demanding
02.2.1_A,Yes,Direct,Demanding
02.2.2_A,Yes,Direct,Demanding
02.2.3_A,Yes,Direct,Demanding
02.2.4_A,Yes,Direct,Demanding
02.2.5_A,Yes,Direct,Demanding
02.2.1_B,Yes,Direct,Demanding
02.2.2_B,Yes,Direct,Demanding
02.2.3_B,Yes,Direct,Demanding
02.2.4_B,Yes,Direct,Demanding
02.2.5_B,Yes,Direct,Demanding
02.2.1_C,Yes,Direct,Demanding
02.2.2_C,Yes,Direct,Demanding
02.2.3_C,Yes,Direct,Demanding
02.2.4_C,Yes,Direct,Demanding
02.2.5_C,Yes,Direct,Demanding
02.3.1_A,Yes,Direct,Demanding
02.3.2_A,Yes,Direct,Demanding
02.3.3_A,Yes,Direct,Demanding
02.3.4_A,Yes,Direct,Demanding
02.3.5_A,Yes,Direct,Demanding
02.3.1_B,Yes,Direct,Demanding
02.3.2_B,Yes,Direct,Demanding
02.3.3_B,Yes,Direct,Demanding
02.3.4_B,Yes,Direct,Demanding
02.3.5_B,Yes,Direct,Demanding
02.3.1_C,Yes,Direct,Demanding
02.3.2_C,Yes,Direct,Demanding
02.3.3_C,Yes,Direct,Demanding
02.3.4_C,Yes,Direct,Demanding
02.3.5_C,Yes,Direct,Demanding
02.4.1_A,Yes,Direct,Demanding
02.4.2_A,Yes,Direct,Demanding
02.4.3_A,Yes,Direct,Demanding
02.4.4_A,Yes,Direct,Demanding
02.4.5_A,Yes,Direct,Demanding
02.4.1_B,Yes,Direct,Demanding
02.4.2_B,Yes,Direct,Demanding
02.4.3_B,Yes,Direct,Demanding
02.4.4_B,Yes,Direct,Demanding
02.4.5_B,Yes,Direct,Demanding
02.4.1_C,Yes,Direct,Demanding
02.4.2_C,Yes,Direct,Demanding
