Filename,Gaming,Main Category,Subcategory,Success
07.3.4_C.txt,Gaming,B,B.3,Failure
08.3.2_C.txt,Gaming,B,B.4,Failure
07.2.3_B.txt,Gaming,B,B.3,Failure
03.2.4_B.txt,Gaming,B,B.1,Failure
06.3.4_B.txt,Gaming,B,B.2,Success
07.3.4_B.txt,Genuine,,,
07.3.4_A.txt,Gaming,B,B.4,Failure
07.3.3_B.txt,Genuine,,,,
08.3.2_B.txt,Gaming,B,B.4,Failure
08.3.2_A.txt,Genuine,,,,
09.3.4_B.txt,Gaming,B,B.5,Failure
08.3.3_B.txt,Genuine,"","",""
09.2.3_B.txt,Gaming,B,B.5,Success
06.3.4_C.txt,Genuine,,,,
07.2.3_C.txt,Gaming,B,B.4,Yes
08.3.3_C.txt,Gaming,B,B.4,Failure
05.3.2_B.txt,Genuine,,,,
08.2.3_B.txt,Gaming,B,B.4,Failure
09.3.2_B.txt,Gaming,B,B.5,Failure
05.3.4_B.txt,Genuine,,,,
07.2.3_A.txt,Gaming,B,B.3,Failure
07.3.3_C.txt,Genuine,,,,
07.2.4_B.txt,Gaming,B,B.3,Failure
08.2.3_C.txt,Gaming,B,B.4,Failure
07.2.4_C.txt,Gaming,B,B.3,Success
06.2.3_C.txt,Gaming,B,Example,Failure
09.3.2_A.txt,Gaming,B,B.5,Success
07.3.3_A.txt,Genuine,,,""
06.2.3_B.txt,Gaming,B,B.2,Success
07.2.4_A.txt,Gaming,B,B.3,Failure
07.2.2_B.txt,Gaming,B,B.3,Failure
06.2.3_A.txt,Gaming,B,B.2,Failure
08.2.3_A.txt,Gaming,B,B.4,Failure
08.3.1_A.txt,Genuine,,,,
07.3.2_A.txt,Genuine,,,,
08.2.4_B.txt,Gaming,B,B.4,Failure
07.2.2_A.txt,Gaming,B,B.3,Failure
08.2.4_A.txt,Gaming,B,B.4,Failure
07.3.2_B.txt,Genuine,,,,
09.3.4_A.txt,Gaming,B,B.5,Failure
07.3.2_C.txt,Gaming,B,B.3,Failure
07.2.2_C.txt,Gaming,B,B.3,Failure
09.2.3_A.txt,Gaming,B,B.5,Failure
07.2.5_B.txt,Gaming,B,B.3,Failure
09.3.3_A.txt,Gaming,B,B.5,Failure
07.2.5_C.txt,Gaming,B,B.1,Failure
08.3.3_A.txt,Genuine,,,,
09.3.1_B.txt,Gaming,B,B.5,Failure
07.2.1_B.txt,Gaming,B,B.3,Failure
06.3.4_A.txt,Gaming,B,Example,Failure
09.2.3_C.txt,Gaming,B,B.1,Success
07.2.1_A.txt,Gaming,B,B.3,Failure
07.2.5_A.txt,Gaming,B,B.3,Failure
08.2.4_C.txt,Gaming,B,B.4,Failure
07.3.5_B.txt,Genuine,,,,
05.3.4_C.txt,Genuine,,,,
10.3.2_B.txt,Gaming,B,B.6,Failure
09.2.4_C.txt,Gaming,B,B.5,Success
05.3.4_A.txt,Genuine,,,,
05.3.3_B.txt,Gaming,B,B.1,Success
07.2.1_C.txt,Gaming,B,B.3,Success
06.2.2_C.txt,Gaming,B,B.2,Yes
08.2.2_B.txt,Genuine,,,
07.3.5_C.txt,Gaming,B,B.3,Failure
07.3.5_A.txt,Genuine,,,,
06.3.2_B.txt,Genuine,,,,
09.2.4_B.txt,Gaming,B,B.5,Failure
06.3.2_A.txt,Gaming,B,B.2,Success
05.3.5_B.txt,Gaming,B,B.1,Failure
07.3.1_C.txt,Gaming,A,A.1,Failure
07.3.1_B.txt,Genuine,"","",""
09.2.4_A.txt,Gaming,B,B.5,Failure
09.2.2_B.txt,Gaming,B,B.5,Success
09.3.3_B.txt,Gaming,B,B.5,Failure
08.3.1_B.txt,Genuine,,,,
10.3.2_A.txt,Genuine,,,,
08.2.2_A.txt,Gaming,B,B.4,Failure
05.2.3_B.txt,Gaming,B,1,Failure
10.3.4_B.txt,Genuine,,,
10.3.4_A.txt,Gaming,B,B.6,Failure
06.3.2_C.txt,Gaming,B,B.2,Failure
09.2.2_A.txt,Gaming,B,B.5,Failure
08.2.2_C.txt,Gaming,B,B.4,Failure
08.2.1_B.txt,Gaming,B,B.4,Failure
06.3.3_B.txt,Genuine,,,,
07.3.1_A.txt,Genuine,,,,
10.3.3_B.txt,Gaming,B,B.6,Failure
07.1.3_B.txt,Gaming,B,B.4,Failure
07.4.3_B.txt,Gaming,B,B.3,Failure
08.2.5_B.txt,Gaming,B,B.4,Failure
06.2.2_B.txt,Gaming,B,B.2,Success
08.2.1_A.txt,Gaming,B,B.4,Success
07.4.3_C.txt,Gaming,B,B.3,Failure
09.2.2_C.txt,Gaming,B,B.5,Yes
07.4.3_A.txt,Gaming,B,B.4,Success
06.2.2_A.txt,Gaming,B,B.2,Failure
08.3.4_B.txt,Gaming,B,B.4,Success
06.3.3_A.txt,Genuine,,,,
07.4.4_B.txt,Gaming,B,B.3,Failure
07.1.3_C.txt,Gaming,B,B.3,Failure
10.2.3_B.txt,Gaming,B,B.6,Failure
10.3.3_A.txt,Gaming,B,B.6,Failure
09.3.2_C.txt,Gaming,B,B.5,Success
09.3.3_C.txt,Gaming,B,B.5,Failure
09.3.4_C.txt,Gaming,B,B.5,Failure
09.2.5_B.txt,Gaming,B,B.5,Success
06.3.3_C.txt,Genuine,,,,
05.3.2_A.txt,Gaming,B,B.1,Success
09.2.5_A.txt,Gaming,B,B.5,Failure
06.2.5_B.txt,Gaming,B,B.2,Success
09.3.5_A.txt,Gaming,B,B.5,Failure
07.1.3_A.txt,Gaming,B,B.3,Failure
08.3.4_A.txt,Genuine,,,
13.2.4_B.txt,Gaming,C,C.1,Failure
09.3.1_A.txt,Gaming,B,B.5,Failure
10.2.3_A.txt,Gaming,B,B.6,Failure
09.3.5_B.txt,Gaming,B,B.5,Failure
08.3.4_C.txt,Gaming,B,B.4,Failure
08.2.1_C.txt,Gaming,A,A.1,Failure
07.1.2_A.txt,Gaming,B,B.4,Failure
07.4.4_A.txt,Gaming,B,B.3,Failure
06.2.4_B.txt,Gaming,B,B.2,Success
06.3.1_B.txt,Genuine,,,,
10.2.3_C.txt,Gaming,B,B.6,Success
10.3.4_C.txt,Gaming,B,B.6,Failure
02.3.4_B.txt,Gaming,A,A.2,Failure
06.2.4_A.txt,Gaming,B,B.2,Failure
11.2.3_C.txt,Gaming,B,B.4,Failure
07.4.4_C.txt,Gaming,A,A.1,Failure
08.3.1_C.txt,Genuine,,,,
08.3.5_C.txt,Gaming,B,B.4,Failure
09.2.1_B.txt,Gaming,B,B.5,Failure
07.1.4_B.txt,Gaming,B,B.4,Failure
08.3.5_B.txt,Yes,B,B.4,No
08.4.3_C.txt,Gaming,B,B.4,Failure
07.1.4_A.txt,Gaming,B,B.3,Failure
06.2.4_C.txt,Gaming,B,B.2,Failure
03.2.3_A.txt,Gaming,B,B.7,Failure
03.2.3_B.txt,Gaming,B,B.7,Failure
06.3.1_C.txt,Gaming,B,B.2,No
