Filename,Gaming,Main Category,Subcategory,Success
01.1.1_A,Yes,Leading,Verify,No
01.1.2_A,Yes,Leading,Verify,Yes
01.1.3_A,Yes,Leading,Verify,No
01.1.4_A,Yes,Direct,Polite,No
01.1.5_A,Yes,Direct,Polite,No
01.1.1_B,Yes,Direct,Polite,No
01.1.2_B,Yes,Leading,Verify,No
01.1.3_B,Yes,Direct,Polite,No
01.1.4_B,Yes,Direct,Polite,Yes
01.1.5_B,Yes,Direct,Polite,No
01.1.1_C,Yes,Direct,Polite,No
01.1.2_C,Yes,Direct,Polite,No
01.1.3_C,Yes,Direct,Polite,No
01.1.4_C,Yes,Direct,Polite,No
01.1.5_C,Yes,Direct,Polite,No
01.2.1_A,Yes,Leading,Verify,No
01.2.2_A,Yes,Direct,Polite,No
01.2.3_A,Yes,Direct,Polite,No
01.2.4_A,Yes,Leading,Verify,No
01.2.5_A,Yes,Leading,Verify,No
01.2.1_B,Yes,Leading,Verify,No
01.2.2_B,Yes,Leading,Verify,Yes
01.2.3_B,No,,,
01.2.4_B,Yes,Leading,Verify,No
01.2.5_B,Yes,Leading,Verify,No
01.2.1_C,Yes,Leading,Verify,Yes
01.2.2_C,Yes,Direct,Polite,Yes
01.2.3_C,Yes,Leading,Verify,Yes
01.2.4_C,Yes,Direct,Polite,No
01.2.5_C,Yes,Direct,Polite,No
01.3.1_A,No,,,
01.3.2_A,No,,,
01.3.3_A,Yes,Direct,Polite,No
01.3.4_A,No,,,
01.3.5_A,Yes,Direct,Polite,No
01.3.1_B,Yes,Direct,Polite,No
01.3.2_B,No,,,
01.3.3_B,No,,,
01.3.4_B,No,,,
01.3.5_B,No,,,
01.3.1_C,Yes,Direct,Polite,No
01.3.2_C,Yes,Direct,Polite,Yes
01.3.3_C,Yes,Direct,Polite,No
01.3.4_C,Yes,Direct,Polite,No
01.3.5_C,Yes,Direct,Polite,No
01.4.1_A,Yes,Direct,Polite,No
01.4.2_A,Yes,Direct,Polite,No
01.4.3_A,Yes,Direct,Polite,No
01.4.4_A,Yes,Direct,Polite,No
01.4.5_A,Yes,Direct,Polite,No
01.4.1_B,Yes,Direct,Polite,No
01.4.2_B,Yes,Direct,Polite,No
01.4.3_B,Yes,Direct,Polite,No
01.4.4_B,Yes,Direct,Polite,No
01.4.5_B,Yes,Direct,Polite,No
01.4.1_C,Yes,Direct,Polite,No
01.4.2_C,Yes,Direct,Polite,No
01.4.3_C,Yes,Direct,Polite,No
01.4.4_C,Yes,Direct,Polite,No
01.4.5_C,Yes,Direct,Polite,No
02.1.1_A,Yes,Direct,Demanding,No
02.1.2_A,Yes,Direct,Demanding,No
02.1.3_A,Yes,Direct,Demanding,No
02.1.4_A,Yes,Direct,Demanding,No
02.1.5_A,Yes,Direct,Demanding,Yes
02.1.1_B,Yes,Direct,Demanding,No
02.1.2_B,Yes,Direct,Demanding,No
02.1.3_B,Yes,Direct,Demanding,No
02.1.4_B,Yes,Direct,Demanding,No
02.1.5_B,Yes,Direct,Demanding,No
02.1.1_C,Yes,Direct,Demanding,No
02.1.2_C,Yes,Direct,Demanding,No
02.1.3_C,Yes,Direct,Demanding,No
02.1.4_C,Yes,Direct,Demanding,No
02.1.5_C,Yes,Direct,Demanding,No
