Filename,Gaming,Main Category,Subcategory,Success
219.json,Genuine,,,,
381.json,Yes,A,A.1,No
385.json,Genuine,,,,
386.json,Genuine,,,,
404.json,Genuine,,,,
428.json,Genuine,,,,
429.json,Genuine,,,,
430.json,Gaming,A,A.1,Failure
439.json,Genuine,,,,
449.json,Genuine,,,,
450.json,Gaming,A,A.1,Success
456.json,Genuine,,,,
460.json,Genuine,,,,
461.json,Genuine,,,,
467.json,Genuine,,,,
490.json,Gaming,A,A.1,Success
492.json,Genuine,,,,
494.json,Genuine,,,,
496.json,Genuine,,,,
504.json,Genuine,,,,
537.json,Genuine,,,,
544.json,Gaming,A,A.2,Success
545.json,Genuine,,,,
546.json,Genuine,,,,
581.json,Genuine,,,,
582.json,Genuine,,,,
583.json,Gaming,A,A.1,Failure
584.json,Genuine,,,,
587.json,Genuine,,,,
592.json,Genuine,,,,
614.json,Gaming,A,A.1,Success
617.json,Genuine,,,,
618.json,Genuine,,,,
668.json,Genuine,,,
700.json,Genuine,,,,
704.json,Genuine,,,,
705.json,Genuine,,,,
713.json,Genuine,,,,
750.json,Genuine,,,,
758.json,Genuine,,,,
772.json,Genuine,,,,
843.json,Genuine,,,
845.json,Genuine,,,,
846.json,Genuine,,,,
847.json,Genuine,,,,
858.json,Gaming,A,A.1,Failure
861.json,Genuine,,,,
872.json,Genuine,,,,
882.json,Genuine,,,,
886.json,Gaming,A,A.2,Success
905.json,Genuine,,,,
911.json,Genuine,,,,
923.json,Genuine,,,,
927.json,Genuine,,,,
929.json,Genuine,,,,
930.json,Genuine,,,,
936.json,Genuine,,,,
944.json,Genuine,,,,
947.json,Genuine,,,,
948.json,Genuine,,,,
952.json,Genuine,,,,
959.json,Genuine,,,,
961.json,Genuine,,,,
963.json,Genuine,,,,
966.json,Genuine,,,,
984.json,Gaming,A,1,N
985.json,Genuine,,,,
986.json,Genuine,,,,
991.json,Genuine,,,,
1056.json,Genuine,,,,
1058.json,Genuine,,,,
1059.json,Genuine,,,,
1060.json,Genuine,,,,
1063.json,Genuine,,,
1075.json,Genuine,,,
1076.json,Genuine,,,,
1077.json,Genuine,,,,
1079.json,Genuine,,,,
1080.json,Genuine,,,,
1082.json,Genuine,,,,
1083.json,Genuine,,,,
1095.json,Genuine,,,,
1096.json,Genuine,,,,
1140.json,Genuine,,,,
1141.json,Genuine,,,,
1142.json,Genuine,,,,
1143.json,Genuine,,,,
1144.json,Genuine,,,,
1145.json,Genuine,,,,
1146.json,Genuine,,,,
1147.json,Genuine,,,,
1149.json,Genuine,,,,
1179.json,Genuine,,,,
1182.json,Genuine,,,,
